Albania,x
Algeria,x
Austria,x
Belarus,x
Belgium,x
Bulgaria,x
Croatia,x
Czech Republic,x
Denmark,x
Estonia,x
Finland,x
France,x
Georgia,x
Germany,x
Greece,x
Hungary,x
Iran,x
Ireland,x
Isle of Man,x
Italy,x
Latvia,x
Libya,x
Liquefied Natural Gas,x
Lithuania,x
Luxembourg,x
"Macedonia, Former Yugoslav Republic",x
Moldova,x
Morocco,x
Netherlands,x
Norway,x
Not Elsewhere Specified,x
Poland,x
Portugal,x
Romania,x
Russia,x
Serbia,x
Slovak Republic,x
Slovenia,x
Spain,x
Sweden,x
Switzerland,x
Tunisia,x
Turkey,x
Ukraine,x
United Kingdom,x
